Imagen1,Imagen2,Igualdad
s1/5.jpg,s1/6.jpg,1.0
s1/7.jpg,s1/2.jpg,1.0
s1/9.jpg,s1/10.jpg,1.0
s1/3.jpg,s1/5.jpg,1.0
s1/3.jpg,s1/10.jpg,1.0
s1/5.jpg,s1/9.jpg,1.0
s1/7.jpg,s1/6.jpg,1.0
s1/2.jpg,s1/7.jpg,1.0
s1/1.jpg,s1/4.jpg,1.0
s1/6.jpg,s1/5.jpg,1.0
s1/6.jpg,s1/8.jpg,1.0
s1/7.jpg,s1/10.jpg,1.0
s1/2.jpg,s1/7.jpg,1.0
s1/5.jpg,s1/1.jpg,1.0
s1/4.jpg,s1/5.jpg,1.0
s1/8.jpg,s1/5.jpg,1.0
s1/3.jpg,s1/8.jpg,1.0
s1/3.jpg,s1/2.jpg,1.0
s1/9.jpg,s1/3.jpg,1.0
s1/1.jpg,s1/4.jpg,1.0
s1/9.jpg,s1/1.jpg,1.0
s1/10.jpg,s1/2.jpg,1.0
s1/10.jpg,s1/2.jpg,1.0
s1/10.jpg,s1/2.jpg,1.0
s1/7.jpg,s1/10.jpg,1.0
s1/6.jpg,s1/10.jpg,1.0
s1/6.jpg,s1/2.jpg,1.0
s1/8.jpg,s1/9.jpg,1.0
s1/10.jpg,s1/3.jpg,1.0
s1/8.jpg,s1/2.jpg,1.0
s1/6.jpg,s1/4.jpg,1.0
s1/6.jpg,s1/4.jpg,1.0
s1/6.jpg,s1/9.jpg,1.0
s1/8.jpg,s1/7.jpg,1.0
s1/10.jpg,s1/4.jpg,1.0
s1/3.jpg,s1/8.jpg,1.0
s1/10.jpg,s1/7.jpg,1.0
s1/2.jpg,s1/1.jpg,1.0
s1/2.jpg,s1/4.jpg,1.0
s1/4.jpg,s1/10.jpg,1.0
s1/7.jpg,s1/9.jpg,1.0
s1/5.jpg,s1/6.jpg,1.0
s1/3.jpg,s1/8.jpg,1.0
s1/2.jpg,s1/1.jpg,1.0
s1/10.jpg,s1/5.jpg,1.0
s1/5.jpg,s1/3.jpg,1.0
s1/2.jpg,s1/4.jpg,1.0
s1/10.jpg,s1/5.jpg,1.0
s1/1.jpg,s1/4.jpg,1.0
s1/9.jpg,s1/4.jpg,1.0
s1/10.jpg,s1/1.jpg,1.0
s1/8.jpg,s1/7.jpg,1.0
s1/5.jpg,s1/2.jpg,1.0
s1/10.jpg,s1/9.jpg,1.0
s1/10.jpg,s1/4.jpg,1.0
